Start Time,Ambient Temperture,Ambient Pressure,NOy,NO,NO2,O3,SO2,CO,PM2.5,PM10
Unix Time (s UTC),C,mmHg,ppbv,ppbv,ppbv,ppbv,ppbv,ppbv,ug m-3,ug m-3
1579996800.0,21.1,740.7,38.5,1.05,33.5,10.9,1.13,NaN,5.9,9.5
1579996860.0,21.1,740.7,38.5,1.09,33.5,11.1,1.13,NaN,6.0,9.5
1579996920.0,21.1,740.7,38.5,1.13,33.6,10.8,1.13,NaN,6.0,9.5
1579996980.0,21.1,740.7,38.6,1.18,33.7,10.7,1.13,NaN,5.9,9.5
1579997040.0,21.1,740.7,38.8,1.20,33.8,10.9,1.12,NaN,5.9,9.5
1579997100.0,21.1,740.7,38.8,1.20,33.9,11.1,1.12,NaN,5.9,9.5
1579997160.0,21.1,740.7,38.9,1.22,34.0,11.3,1.13,NaN,6.0,9.6
1579997220.0,21.0,740.7,39.2,1.20,34.1,10.9,1.13,NaN,6.0,9.6
1579997280.0,21.0,740.7,39.4,1.17,34.3,10.5,1.14,NaN,6.0,9.5
1579997340.0,21.0,740.7,39.5,1.15,34.4,10.6,1.13,NaN,6.0,9.4
1579997400.0,20.9,740.7,39.7,1.14,34.6,10.5,1.13,NaN,6.0,9.4
1579997460.0,20.9,740.8,39.8,1.13,34.8,10.1,1.12,NaN,5.9,9.4
1579997520.0,20.8,740.8,40.1,1.15,35.1,10.1,1.12,693.0,6.0,9.5
1579997580.0,20.8,740.8,40.4,1.17,35.4,9.9,1.12,699.1,6.0,9.6
1579997640.0,20.8,740.7,40.7,1.19,35.7,9.8,1.12,704.7,6.0,9.6
1579997700.0,20.7,740.7,40.9,1.22,35.7,9.3,1.12,709.5,6.0,9.7
1579997760.0,20.8,740.8,41.0,1.25,35.2,9.2,1.12,709.9,6.1,9.7
1579997820.0,20.8,740.9,41.2,1.22,35.1,8.5,1.11,710.8,6.1,9.8
1579997880.0,20.8,740.9,41.4,1.18,35.2,8.3,1.11,710.9,6.1,9.7
1579997940.0,20.8,740.9,41.5,1.14,35.7,8.1,1.11,711.9,6.1,9.8
1579998000.0,20.9,740.9,41.5,1.10,37.0,8.2,1.11,712.6,6.1,9.9
1579998060.0,20.9,740.9,41.5,1.07,37.4,8.5,1.10,716.1,6.2,10.0
1579998120.0,21.0,740.9,41.5,1.06,37.3,8.2,1.09,721.0,6.2,10.0
1579998180.0,21.0,740.9,41.8,1.08,37.4,7.9,1.09,724.1,6.3,10.0
1579998240.0,21.0,740.9,42.2,1.13,37.8,7.8,1.09,724.4,6.2,10.0
1579998300.0,21.0,740.9,42.7,1.22,38.4,7.5,1.10,722.1,6.2,9.9
1579998360.0,21.0,740.9,43.1,1.33,38.8,7.6,1.10,720.0,6.2,9.9
1579998420.0,21.0,740.9,43.6,1.47,39.1,7.4,1.11,718.8,6.2,9.9
1579998480.0,21.0,741.0,44.1,1.58,39.4,6.9,1.11,718.2,6.2,9.9
1579998540.0,20.9,740.9,44.8,1.69,39.8,6.4,1.11,721.5,6.2,9.8
1579998600.0,20.9,741.0,45.3,1.76,40.1,6.1,1.12,722.6,6.2,9.8
1579998660.0,20.9,741.0,45.8,1.83,40.2,6.2,1.12,723.2,6.1,9.7
1579998720.0,20.9,741.0,46.1,1.89,40.2,6.3,1.13,721.7,6.1,9.7
1579998780.0,20.9,741.0,46.4,1.91,39.7,6.1,1.13,721.3,6.2,9.9
1579998840.0,20.9,741.0,46.6,1.90,39.3,5.3,1.13,720.8,6.2,9.9
1579998900.0,20.9,741.0,46.8,1.87,39.8,5.6,1.13,727.2,6.2,10.0
1579998960.0,21.0,741.0,46.9,1.81,40.5,5.6,1.13,733.6,6.3,10.2
1579999020.0,21.0,741.0,46.9,1.76,41.1,5.2,1.13,731.3,6.3,10.2
1579999080.0,21.0,741.0,46.8,1.76,41.0,5.3,1.14,729.8,6.3,10.2
1579999140.0,21.1,740.9,46.8,1.78,40.8,5.1,1.15,723.3,6.4,10.3
1579999200.0,21.1,740.9,46.9,1.81,40.7,4.7,1.15,726.7,6.4,10.4
1579999260.0,21.1,740.9,47.0,1.87,41.1,4.9,1.15,727.7,6.4,10.4
1579999320.0,21.1,740.9,47.2,1.93,41.0,4.6,1.15,729.9,6.4,10.5
1579999380.0,21.1,740.8,47.2,2.04,41.1,4.4,1.16,731.2,6.5,10.5
1579999440.0,21.1,740.7,47.3,2.17,41.0,4.7,1.16,731.6,6.4,10.4
1579999500.0,21.0,740.7,47.4,2.28,40.9,5.0,1.17,732.0,6.3,10.2
1579999560.0,21.0,740.7,47.7,2.32,40.9,4.7,1.17,729.4,6.3,10.2
1579999620.0,21.0,740.7,47.7,2.34,40.9,4.5,1.16,728.1,6.2,10.1
1579999680.0,20.9,740.8,47.7,2.37,40.9,4.3,1.16,727.3,6.2,10.1
1579999740.0,20.9,740.8,47.7,2.40,40.9,4.3,1.16,724.7,6.2,10.0
1579999800.0,20.9,740.8,47.7,2.41,40.7,4.0,1.16,724.2,6.2,10.0
1579999860.0,20.9,740.8,47.6,2.38,40.1,3.8,1.17,725.5,6.2,10.0
1579999920.0,20.9,740.8,47.5,2.33,40.1,3.7,1.18,725.0,6.2,10.0
1579999980.0,21.0,740.8,47.3,2.29,40.1,3.6,1.17,722.5,6.2,10.0
1580000040.0,21.0,740.8,47.2,2.26,40.3,4.0,1.17,715.9,6.2,10.0
1580000100.0,21.0,740.8,47.1,2.22,40.3,4.3,1.17,712.9,6.2,10.1
1580000160.0,21.1,740.8,46.9,2.20,40.2,4.2,1.17,712.6,6.3,10.2
1580000220.0,21.1,740.8,46.6,2.21,40.2,3.9,1.18,719.9,6.3,10.1
1580000280.0,21.1,740.8,46.3,2.24,40.1,3.9,1.18,718.9,6.3,10.1
1580000340.0,21.2,740.8,46.2,2.25,39.8,3.6,1.17,718.6,6.3,10.0
1580000400.0,21.2,740.8,46.2,2.26,39.6,3.4,1.17,716.3,6.3,10.0
1580000460.0,21.2,740.8,46.1,2.27,39.5,3.8,1.16,712.3,6.3,10.1
1580000520.0,21.2,740.8,46.0,2.26,39.4,4.2,1.15,714.6,6.3,10.0
1580000580.0,21.2,740.8,46.0,2.25,39.3,3.5,1.14,712.0,6.3,10.0
1580000640.0,21.3,740.7,46.0,2.21,39.2,3.0,1.15,714.3,6.4,10.1
1580000700.0,21.3,740.7,46.1,2.15,39.1,3.3,1.15,717.2,6.5,10.2
1580000760.0,21.3,740.7,46.0,2.09,39.0,3.4,1.15,720.8,6.5,10.2
1580000820.0,21.3,740.8,45.8,2.08,38.9,3.6,1.14,722.0,6.5,10.2
1580000880.0,21.3,740.8,45.6,2.09,38.8,3.4,1.14,720.6,6.6,10.4
1580000940.0,21.3,740.8,45.5,2.10,38.6,3.3,1.13,717.5,6.7,10.5
1580001000.0,21.3,740.8,45.4,2.11,38.5,3.5,1.13,714.4,6.7,10.6
1580001060.0,21.3,740.9,45.2,2.14,38.4,3.9,1.12,711.7,6.7,10.7
1580001120.0,21.3,740.9,45.0,2.15,38.3,3.9,1.12,713.0,6.7,10.7
1580001180.0,21.3,740.9,44.9,2.15,38.1,3.7,1.10,708.1,6.8,10.7
1580001240.0,21.3,740.9,44.8,2.15,38.0,3.7,1.10,709.2,6.7,10.7
1580001300.0,21.3,740.9,44.7,2.12,37.8,3.4,1.09,707.2,6.7,10.6
1580001360.0,21.3,740.9,44.6,2.09,37.8,3.1,1.09,707.3,6.7,10.5
1580001420.0,21.3,740.9,44.6,2.07,37.8,2.9,1.09,707.8,6.7,10.5
1580001480.0,21.3,740.9,44.4,2.06,37.7,3.0,1.09,705.5,6.6,10.4
1580001540.0,21.3,740.9,44.4,2.01,37.7,3.4,1.10,703.4,6.6,10.3
1580001600.0,21.3,740.9,44.3,2.00,37.4,3.6,1.10,699.5,6.6,10.2
1580001660.0,21.3,740.9,44.3,2.01,37.3,3.3,1.10,694.8,6.5,10.1
1580001720.0,21.3,740.9,44.2,2.01,37.2,2.8,1.11,694.8,6.5,10.1
1580001780.0,21.3,740.9,44.2,2.00,37.1,2.9,1.11,694.2,6.5,10.1
1580001840.0,21.3,740.9,44.0,1.99,36.9,3.2,1.11,688.9,6.5,10.0
